{'L': 10, 'M': 400, 'N': 45, 'R': 1, 'M_grid': 40, 'pm': 0.1, 'pc': 0.8, 'pop_size': 10, 'max_gen': 500, 'Dth': 1.7320508075688772, 'k1': 2.5, 'w1': 2, 'w2': 200, 'maxdis': 0.3, 'GA_step': 10, 'VF_step': 5, 'seed_number': 28, 'alpha1': 0.7, 'alpha2': 0.15, 'alpha3': 0.15}
[57, 0.8769, 0.8769, 0.8769, 0.6352, 0.1117, 0.13, 0.8769]
[58, 0.8769, 0.8769, 0.8769, 0.6352, 0.1117, 0.13, 0.8769]
[59, 0.8769, 0.8769, 0.8769, 0.6352, 0.1117, 0.13, 0.8769]
[60, 0.8769, 0.8769, 0.8769, 0.6352, 0.1117, 0.13, 0.8769]
[61, 0.8769, 0.8769, 0.8769, 0.6352, 0.1117, 0.13, 0.8769]
[62, 0.8769, 0.8769, 0.8769, 0.6352, 0.1117, 0.13, 0.8769]
[63, 0.8769, 0.8769, 0.8769, 0.6352, 0.1117, 0.13, 0.8769]
[64, 0.8769, 0.8769, 0.8769, 0.6352, 0.1117, 0.13, 0.8769]
[65, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[66, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[67, 0.8765, 0.8785, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[68, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[69, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[70, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[71, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[72, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[73, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[74, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[75, 0.8767, 0.8788, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[76, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[77, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
[78, 0.879, 0.879, 0.879, 0.6357, 0.1117, 0.1317, 0.879]
