{'L': 10, 'M': 400, 'N': 45, 'R': 1, 'M_grid': 40, 'pm': 0.1, 'pc': 0.8, 'pop_size': 10, 'max_gen': 500, 'Dth': 1.7320508075688772, 'k1': 2.5, 'w1': 2, 'w2': 200, 'maxdis': 0.3, 'GA_step': 10, 'VF_step': 5, 'seed_number': 28, 'alpha1': 0.9, 'alpha2': 0.05, 'alpha3': 0.05}
[0, 0.7213, 0.7213, 0.7213, 0.6486, 0.0339, 0.0389, 0.7213]
[0, 0.66, 0.6892, 0.7085, 0.6486, 0.0339, 0.0389, 0.7213]
[1, 0.6701, 0.6952, 0.7062, 0.6486, 0.0339, 0.0389, 0.7213]
[2, 0.7062, 0.7256, 0.7478, 0.6739, 0.0344, 0.0394, 0.7478]
[3, 0.7022, 0.7238, 0.7483, 0.6733, 0.035, 0.04, 0.7483]
[4, 0.7073, 0.7314, 0.7483, 0.6733, 0.035, 0.04, 0.7483]
[5, 0.7242, 0.7428, 0.7483, 0.6733, 0.035, 0.04, 0.7483]
[6, 0.7259, 0.7472, 0.7535, 0.6863, 0.0294, 0.0378, 0.7535]
[7, 0.7478, 0.7682, 0.7877, 0.7161, 0.0322, 0.0394, 0.7877]
[8, 0.7624, 0.7816, 0.7877, 0.7161, 0.0322, 0.0394, 0.7877]
[9, 0.7877, 0.8289, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[10, 0.7866, 0.8357, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[11, 0.7776, 0.8269, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[12, 0.8075, 0.8359, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[13, 0.8165, 0.8471, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[14, 0.8457, 0.8524, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[15, 0.8457, 0.8548, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[16, 0.8564, 0.8564, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[17, 0.8564, 0.8564, 0.8564, 0.7892, 0.0289, 0.0383, 0.8564]
[18, 0.8564, 0.8566, 0.8581, 0.7897, 0.0289, 0.0394, 0.8581]
[19, 0.8581, 0.8706, 0.872, 0.7937, 0.0339, 0.0444, 0.872]
[20, 0.872, 0.872, 0.872, 0.7937, 0.0339, 0.0444, 0.872]
[21, 0.872, 0.872, 0.872, 0.7937, 0.0339, 0.0444, 0.872]
[22, 0.867, 0.8715, 0.872, 0.7937, 0.0339, 0.0444, 0.872]
[23, 0.8709, 0.8724, 0.8748, 0.7959, 0.0339, 0.045, 0.8748]
[24, 0.8709, 0.872, 0.8748, 0.7959, 0.0339, 0.045, 0.8748]
[25, 0.8709, 0.8718, 0.872, 0.7959, 0.0339, 0.045, 0.8748]
[26, 0.8709, 0.8724, 0.8754, 0.7965, 0.0339, 0.045, 0.8754]
[27, 0.872, 0.874, 0.8754, 0.7965, 0.0339, 0.045, 0.8754]
[28, 0.872, 0.8737, 0.8754, 0.7965, 0.0339, 0.045, 0.8754]
[29, 0.872, 0.8819, 0.889, 0.819, 0.0289, 0.0411, 0.889]
[30, 0.8484, 0.8776, 0.889, 0.819, 0.0289, 0.0411, 0.889]
